"country","male_emigrants","female_emigrants","total_emigrants","male_percent_emigrants","female_percent_emigrants","male_immigrants","female_immigrants","total_immigrants","male_percent_immigrants","female_percent_immigrants","Remittances","labourforce_female","labourforce_male","Inheritance_law","Violence_against_women_law","Violence_against_women_attitudes","percentage_violence","FGM_law","Citizenship_rights","Inequality_voting_rights","percentage_women_parliament","Insecurity_feeling","Access_to_justice","Child_marriage_law","Girls_married","total"
"Egypt,_Arab_Rep.",2295425,1252452,3547877,64.698550710749,35.301449289251,271048,233005,504053,53.7737103042736,46.2262896957264,"8.83638759136431",18.6482378611814,81.3517621388186,1,0.75,35.7,45.3,0.25,1,0.25,14.9,61,0.75,0.25,14.8,6.27408282148833
"El_Salvador",795952,804975,1600927,49.7181945210494,50.2818054789506,20269,22348,42617,47.5608325316188,52.4391674683812,"21.043580068561081",41.198406276418,58.801593723582,0.25,0.5,7.7,26.3,1,0,0.25,32.1,64.3,0.25,0.25,21,4.2316432818888
"Equatorial_Guinea",67324,58346,125670,53.5720537916766,46.4279462083234,175403,52214,227617,77.0605886203579,22.9394113796421,"0",42.0119933673044,57.9880066326956,0.25,1,52.6,56.9,1,0,0.5,20,46.9,0,0.5,23.8,5.56781948462265
"Estonia",93795,114475,208270,45.0352907283814,54.9647092716186,80616,109626,190242,42.3755006780837,57.6244993219163,"1.7435073482493124",48.5907749952164,51.4092250047836,0,0.25,16.9,20,0.75,0,0.5,26.7,75.4,0,0.5,0.5,3.12151024292196
"Eswatini",51287,45845,97132,52.8013425029856,47.1986574970144,16582,15728,32310,51.3215722686475,48.6784277313525,"2.6406030337997608",47.0888386032718,52.9111613967282,0.75,0.75,19.9,8.2,1,0.75,0.25,6.2,52.4,0.75,0.5,4,5.29458358921792
"Ethiopia",463581,408293,871874,53.1706416294098,46.8293583705902,637963,615120,1253083,50.9114719455934,49.0885280544066,"0.50006382073875488",46.5212826920858,53.4787173079142,0.25,0.5,63,28,0.25,0,0.5,38.8,66.1,0.25,0.5,22.5,4.85123105541198
"Fiji",105570,117158,222728,47.3986207391976,52.6013792608024,7576,6462,14038,53.9678016811512,46.0321983188488,"5.2277415764115833",33.5086734241556,66.4913265758444,0.25,0.75,42.6,64.1,1,0,0.5,16,73.8,0.25,0.25,8.5,5.36112923424325
"Finland",112375,177667,290042,38.7443887436992,61.2556112563008,196188,186928,383116,51.2085112602971,48.7914887397029,"0.29688353529437422",47.8524967785549,52.1475032214451,0,0.75,11.2,30,1,0,0,42,91.1,0,0.5,0.3,4.77654771505578
"France",1122781,1174163,2296944,48.8815138723452,51.1184861276548,4019290,4315585,8334875,48.2225588266171,51.7774411733829,"1.1002620999408959",48.442369384894,51.557630615106,0.25,0.25,6.6,26,0.25,0,0,39,58.5,0,0.5,2.8,2.75746124814937
"Gabon",22351,24337,46688,47.8731151473612,52.1268848526388,264758,146705,411463,64.3455183090582,35.6544816909418,"0.08296588601609807",39.4559622564601,60.5440377435399,0.25,0.75,50.2,48.6,0.75,0,0,17.1,46.9,0.25,1,15,5.30511249051471
"Gambia",77979,40506,118485,65.813394100519,34.1866058994809,113552,101854,215406,52.7153375486291,47.2846624513709,"15.208637419111684",46.9508637886258,53.0491362113742,1,0.5,58.4,20.1,0.25,0,0.5,10.3,68.4,0.75,0.5,25.5,5.40388378498451
"Georgia",425131,427695,852826,49.8496762528347,50.1503237471653,34583,44452,79035,43.7565635477953,56.2434364522047,"12.925901742262507",47.0124668879435,52.9875331120565,0.25,0.75,8.6,6.1,1,0,0.25,16,66.3,0,0.5,14.4,3.79497493929336
"Germany",1870506,2144264,4014770,46.5906141572245,53.4093858427755,6881990,6250156,13132146,52.4056768787067,47.5943231212933,"0.48170303233294681",46.6013643415403,53.3986356584597,0,0.75,19.6,22,0.25,0,0.5,30.7,55.3,0,0.25,0.4,2.76871654474284
"Ghana",510404,460310,970714,52.5802656601223,47.4197343398777,249224,217556,466780,53.3921761857835,46.6078238142165,"5.9318712063328327",47.8362334704392,52.1637665295608,0.75,0.75,28.3,24.4,0.25,0,0.5,12.7,46.8,0.25,0.5,8,3.79980832358491
"Greece",543312,496189,1039501,52.2666163861314,47.7333836138686,560208,651174,1211382,46.2453627344636,53.7546372655364,"0.3295027481269871",44.5515296474924,55.4484703525076,0.5,0.25,2,19,1,0,0.25,18.3,62.1,0,0.5,1.9,3.18704698532502
"Guatemala",595851,609860,1205711,49.4190564737321,50.5809435262679,38117,42304,80421,47.3968242125813,52.6031757874187,"13.807882863396525",32.0646615137626,67.9353384862374,0.25,0.75,11,18,1,0.75,0.25,12.7,70.2,0,0.25,21.6,4.70394617556537
"Guinea-Bissau",54776,48812,103588,52.8787118199019,47.1212881800981,12990,13926,26916,48.2612572447615,51.7387427552385,"1.1763120572332677",41.3870763261048,58.6129236738952,0.75,0.75,92.1,80,0.25,1,0,21.9,48.2,0.25,1,34.3,8.05081527442312
"Guinea-Bissau",54776,48812,103588,52.8787118199019,47.1212881800981,12990,13926,26916,48.2612572447615,51.7387427552385,"10.501612093339945",45.0596983742543,54.9403016257457,0.75,0.75,41.8,26,0.75,0,0.5,13.7,46.8,0.25,0.5,11.8,4.64598609987425
