"country","male_emigrants","female_emigrants","total_emigrants","male_percent_emigrants","female_percent_emigrants","male_immigrants","female_immigrants","total_immigrants","male_percent_immigrants","female_percent_immigrants","Remittances","labourforce_female","labourforce_male","Inheritance_law","Violence_against_women_law","Violence_against_women_attitudes","percentage_violence","FGM_law","Citizenship_rights","Inequality_voting_rights","percentage_women_parliament","Insecurity_feeling","Access_to_justice","Child_marriage_law","Girls_married","total"
"Montenegro",71753,81263,153016,46.8924818319653,53.1075181680347,27982,42985,70967,39.4295940366649,60.5704059633351,"10.543302866205986",45.2583137018572,54.7416862981428,0.25,0.25,2.7,13,1,0,0.25,23.5,58.2,0,0.5,2.4,2.88296566941543
"Morocco",1647038,1489302,3136340,52.5146508350498,47.4853491649502,49479,49095,98574,50.1947775275428,49.8052224724572,"5.4006992248977861",25.3029253165834,74.6970746834166,1,0.75,22,30,1,1,0.25,20.5,70.6,0.75,0.5,11.3,7.0503663394687
"Mozambique",653071,360350,1013421,64.4422209525952,35.5577790474048,161731,172934,334665,48.3262366844456,51.6737633155544,"1.9465030887027608",51.5305440549225,48.4694559450775,0.25,0.75,22.9,21.7,0.75,0.75,0.5,39.6,49.3,0,0.5,41,5.49706869061167
"Myanmar",2324597,1374907,3699504,62.8353692819362,37.1646307180638,41652,34346,75998,54.8067054396168,45.1932945603832,"3.7165546764478643",38.7964610566503,61.2035389433497,0.25,0.75,51.2,33,1,0.5,0.5,10.2,68.5,0.75,0.5,12.9,6.07977570694281
"Namibia",91117,104402,195519,46.6026319692715,53.3973680307285,57938,49623,107561,53.865248556633,46.134751443367,"0.52299388647984457",49.456720512039,50.543279487961,0.25,0.25,28.2,25,1,0.25,0.25,41.3,72.3,0.25,0.5,5.9,4.75011085052711
"Nepal",1399285,886135,2285420,61.2266016749657,38.7733983250343,148487,342315,490802,30.2539516953884,69.7460483046116,"24.116362862595764",38.1096494329839,61.8903505670161,0.25,0.25,42.9,25,1,0.75,0.25,32.7,71.5,0.25,0.5,24.5,5.67964896550379
"Netherlands",496339,484758,981097,50.5902066768118,49.4097933231882,1103004,1179787,2282791,48.3182209847507,51.6817790152493,"0.24545050119843195",46.7398190219716,53.2601809780284,0,0.75,6.4,25,0.25,0,0.5,36,80.6,0,0.25,0.1,3.25629285091137
"New_Zealand",398413,389302,787715,50.5783183004005,49.4216816995995,516814,551925,1068739,48.357363210288,51.642636789712,"0.22204915081376228",47.5563261900688,52.4436738099312,0,0.75,7.7,35,0,0,0.5,38.3,79.2,0,0.5,0.8,3.48167819780398
"Nicaragua",320782,372362,693144,46.2792724166984,53.7207275833016,21704,20468,42172,51.4654272977331,48.5345727022669,"13.387701242983349",37.9842643362177,62.0157356637823,0,0.25,13.7,22.5,1,0,0,45.7,60.5,0,0.5,30.4,4.0834561516873
"Nigeria",776073,696974,1473047,52.6848769930627,47.3151230069373,689321,567087,1256408,54.8644230218209,45.1355769781791,"2.3896795595633393",41.748637673111,58.251362326889,1,0.75,59.6,29.8,0.25,0,0.25,17,46.6,0.75,0.5,61.9,6.3712807541582
"Nigeria",776073,696974,1473047,52.6848769930627,47.3151230069373,689321,567087,1256408,54.8644230218209,45.1355769781791,"5.3131483961683914",43.9036270865865,56.0963729134135,0.75,0.75,34.7,16.2,0.5,0.75,0.5,5.6,47.9,0.25,0.5,30.4,5.11307776358656
"Norway",88557,116820,205377,43.1192392526914,56.8807607473086,451599,416166,867765,52.041624172443,47.958375827557,"0.15205711950531486",47.1552545550048,52.8447454449952,0,0.25,9.9,27,0.25,0,0.5,41.4,81.6,0,0.5,0.1,3.06469009563483
"Oman",12068,10393,22461,53.7286852767018,46.2713147232982,1911526,374700,2286226,83.6105441894196,16.3894558105804,"0.044300844078749166",14.2737137516291,85.7262862483709,1,0.75,7.9,13.5,1,1,0.75,1.2,55.8,0.75,0.5,4.2,5.66938528128159
"Pakistan",4234386,2275598,6509984,65.044491660809,34.955508339191,1714663,1543315,3257978,52.6296678491997,47.3703321508003,"6.9340423847893451",22.5936538214665,77.4063461785335,1,0.5,42.2,85,1,0.75,0.25,20.6,52.4,0.75,1,13.4,7.88521471881069
"Papua_New_Guinea",2336,2417,4753,49.1479065853145,50.8520934146855,18944,12268,31212,60.6946046392413,39.3053953607587,"1.1763120572332677",41.3870763261048,58.6129236738952,0.75,0.75,92.1,80,0.25,1,0,21.9,48.2,0.25,1,34.3,8.05081527442312
"Papua_New_Guinea",2336,2417,4753,49.1479065853145,50.8520934146855,18944,12268,31212,60.6946046392413,39.3053953607587,"0.11857080908074",47.6285444498989,52.3714555501011,0.5,0.75,30.8,24,1,0,0.25,0,70.2,0.25,1,13.2,5.17441501660351
"Paraguay",374733,501905,876638,42.7466069232682,57.2533930767318,83412,77107,160519,51.9639419632567,48.0360580367433,"1.7560562722308517",41.731763983671,58.268236016329,0.5,0.5,22.9,17.9,1,0.5,0,13.8,61.4,0,0.5,13.2,4.46464308745393
"Peru",648219,895993,1544212,41.9773321279721,58.0226678720279,424317,357852,782169,54.248762096171,45.751237903829,"1.4566705972231777",46.1284202883485,53.8715797116515,0.25,0.75,32.2,33.2,1,0,0,27.7,65.1,0,0.5,12.9,4.82353875987889
"Philippines",2754933,3241228,5996161,45.9449471086584,54.0550528913416,113239,105291,218530,51.8185146204182,48.1814853795818,"9.3326165959000686",38.8203981268704,61.1796018731296,0.5,0.75,12.9,16.9,0.25,0.75,0,29.5,61,0.25,0.5,4.8,4.52063621341099
"Poland",2212963,2358593,4571556,48.4072162738464,51.5927837261536,289754,366231,655985,44.1708270768386,55.8291729231614,"1.1849585753413165",44.8180788775464,55.1819211224536,0,0.75,7.9,13,1,0,0,28,66.2,0,0.5,1.2,3.62342808782006
"Portugal",1105701,1050091,2155792,51.2897812033814,48.7102187966186,411750,476412,888162,46.3597857147683,53.6402142852317,"0.25734814843357612",49.37367711374,50.62632288626,0,0.25,2,19,0.25,0,0,34.8,73.8,0,0.5,0.7,2.50568453752337
"Qatar",13243,13069,26312,50.3306476132563,49.6693523867437,1845678,384010,2229688,82.7774110099709,17.2225889900291,"0.32794380290498348",15.5130828773885,84.4869171226115,1,0.75,6.6,38.5,1,1,0.5,9.8,63.2,0.75,1,3.6,6.90522172615164
"Korea,_Rep.",1148330,1159039,2307369,49.7679391549423,50.2320608450577,652746,510909,1163655,56.0944609871483,43.9055390128517,"0.43393487272084086",42.4640401943404,57.5359598056596,0,0.25,18.4,16.5,1,0.25,0.25,17,51.3,0,0.5,0.2,2.85970875627952
"Republic_of_Moldova",481699,547827,1029526,46.7884249644982,53.2115750355018,42839,61874,104713,40.9108706655334,59.0891293344666,"15.954013517755577",48.0925326018259,51.9074673981741,0,0.25,11.2,45.5,1,0,0,22.8,57.8,0,0.5,11.5,3.48945428187949
"Romania",1710646,1939650,3650296,46.8632132846213,53.1367867153787,248851,213701,462552,53.7995728047874,46.2004271952126,"3.24358723786949",43.143294650033,56.856705349967,0,0.25,7.5,24,1,0,0.5,20.7,68.1,0,0.5,6.8,3.14145523921168
"Russian_Federation",4603318,5971887,10575205,43.5293500220563,56.4706499779437,5713879,5926680,11640559,49.0859502537636,50.9140497462364,"0.61617118456905184",48.4680779323259,51.5319220676741,0,1,23.3,19.6,1,0,0.5,15.8,76.7,0.25,0.5,7.9,4.67450152192542
"Rwanda",243927,255286,499213,48.8623092747985,51.1376907252015,269917,270015,539932,49.9909247831208,50.0090752168792,"2.5174011108645851",45.7968085218346,54.2031914781654,0.25,0.5,41.4,34.4,1,0,0.25,61.3,77.2,0.75,0.25,4,5.94594937566689
"Samoa",61096,63170,124266,49.1654998149132,50.8345001850868,2038,1997,4035,50.5080545229244,49.4919454770756,"17.00155923998501",37.6141608909843,62.3858391090157,0.25,0.75,36.5,46.1,1,0,0.25,10,65.7,0.25,1,7.6,5.38973585714516
"Sao_Tome_and_Principe",17382,19631,37013,46.9618782589901,53.0381217410099,1085,1089,2174,49.9080036798528,50.0919963201472,"2.6003224754601395",35.155312234681,64.844687765319,0,0.5,19.1,27.9,1,0,0.5,18.2,74,0.25,0.5,18.7,4.30270803981017
"Saudi_Arabia",166096,137808,303904,54.6541012951458,45.3458987048542,9001182,4121156,13122338,68.5943465257487,31.4056534742513,"0.041565775603135104",16.5769626497775,83.4230373502225,1,0.75,50.2,16.2,1,1,0.25,19.9,68.1,0.75,0.75,5.8,7.33157300488186
"Senegal",401227,249255,650482,61.6814915708659,38.3185084291341,145996,129243,275239,53.0433550477948,46.9566449522052,"0.59089065919476524",38.5893012737861,61.4106987262139,0.5,0.5,56.5,78,0.25,0,0,41.8,55.4,0,1,25,5.99010497594552
"Serbia",470672,493998,964670,48.7909855183638,51.2090144816362,361216,459096,820312,44.0339773159481,55.9660226840519,"8.2267104206495834",45.0852508014706,54.9147491985294,0.25,0.25,3.8,23.7,1,0,0.25,34.4,73.2,0.25,0.5,3.5,3.91003202731938
"Sierra_Leone",76957,78020,154977,49.657045884228,50.342954115772,30724,23608,54332,56.5486269601708,43.4513730398292,"4.3539728313512205",48.0819605938789,51.9180394061211,0.5,0.5,62.8,45.3,1,0.75,0.25,12.4,55.6,0.25,0.5,19,6.03933545558041
"Singapore",167642,184594,352236,47.593658796943,52.406341203057,950192,1205461,2155653,44.0790795179001,55.9209204820999,"0",42.1754183840353,57.8245816159647,0.25,0.5,40.5,6.1,1,1,0.5,23,60.7,0,0.5,0.4,4.70695866028762
"Slovak_Republic",166174,191625,357799,46.4433941961828,53.5566058038172,96010,91974,187984,51.0734956166482,48.9265043833518,"2.4069971669189703",45.2354898811061,54.7645101188939,0,0.25,5,23,1,0,0.5,20,67.3,0.25,0.75,1.1,3.43442380988351
"Slovenia",66342,77463,143805,46.1333055178888,53.8666944821112,142626,110496,253122,56.3467418873113,43.6532581126887,"1.2200323930399202",45.9569164238512,54.0430835761488,0,0.25,15.8,13,1,0,0,36.7,78.5,0,0.5,0.2,3.50649498971252
"Solomon_Islands",2058,2176,4234,48.606518658479,51.393481341521,1421,1111,2532,56.1216429699842,43.8783570300158,"1.57329789914917",48.4168649003363,51.5831350996637,0.25,0.5,76.7,63.5,1,1,0.5,2,32.1,0.25,0.75,10.2,5.91389563169153
"Somalia",1067138,1000959,2068097,51.5999974856112,48.4000025143888,27184,24947,52131,52.1455563867948,47.8544436132052,"24.317656129529684",31.2250377145672,68.7749622854328,0.5,0.5,75.7,85,0.75,1,0.25,24.4,66.8,0.75,0.5,28,8.10988544512748
"South_Sudan",1281486,1303732,2585218,49.5697461490675,50.4302538509325,441677,423875,865552,51.0283610921123,48.9716389078877,"1.6151772190482667",30.1220401019608,69.8779598980392,1,0.75,34,29.8,0.25,0.75,0.25,30.5,46.9,0.75,0.75,21.2,6.40180477896394
"Spain",648799,760148,1408947,46.048502889037,53.951497110963,2913747,3190456,6104203,47.7334551291954,52.2665448708046,"0.2299935821884608",46.6122112380951,53.3877887619049,0.25,0.5,9.6,13,0.25,0,0,39.1,58.4,0,0.5,4,2.94329974048511
"Sri_Lanka",1107793,802677,1910470,57.9853648578622,42.0146351421378,20909,19109,40018,52.2489879554201,47.7510120445799,"7.5815342835062305",34.3376879277589,65.6623120722411,1,0.5,53.2,16.6,1,0,0.25,5.8,68.1,0.25,0.5,10.6,5.09340612479616
"Sudan",1125738,915045,2040783,55.1620627964855,44.8379372035145,607151,615941,1223092,49.6406648068992,50.3593351931008,"1.6151772190482667",30.1220401019608,69.8779598980392,1,0.75,34,29.8,0.25,0.75,0.25,30.5,46.9,0.75,0.75,21.2,6.40180477896394
"Sweden",160117,199655,359772,44.5051310274285,55.4948689725715,1008536,996674,2005210,50.295779494417,49.704220505583,"0.62174151004553591",47.4490270907433,52.5509729092567,0,0.25,10.2,28,0,0,0.5,43.6,74.3,0,0,0.3,2.22832190629048
"Switzerland",322973,376677,699650,46.1620810405203,53.8379189594797,1265343,1306686,2572029,49.1962959982177,50.8037040017823,"0.35339882429196612",46.8071251573625,53.1928748426375,0,0.75,15.2,9.8,0.25,0,0,32.5,55.6,0,0,0.4,2.28165153362319
"Syrian_Arab_Republic",4861046,3413822,8274868,58.7446953836605,41.2553046163395,444710,423138,867848,51.24284436906,48.75715563094,"0",18.7082533336262,81.2917466663738,1,0.75,34.5,16.2,1,0.75,0.5,13.2,62,0.75,1,9.8,6.89506683184281
"Tajikistan",333952,245197,579149,57.6625358931812,42.3374641068188,118207,155864,274071,43.1300648372137,56.8699351627863,"27.971868749468964",37.9348810492241,62.0651189507759,0.25,0.75,59.6,20.3,1,0,0.5,19,62.6,0.25,0.5,14.3,5.08320375372717
"Thailand",340550,639426,979976,34.75085104125,65.24914895875,1825505,1809580,3635085,50.2190457719696,49.7809542280304,"1.5001740014106524",45.695962765287,54.304037234713,0,0.75,8.6,44.2,1,1,0.25,4.8,71.8,0.25,0.75,17.1,5.63683906922663
"Timor-Leste",21660,17542,39202,55.2522830467833,44.7477169532167,5086,3331,8417,60.4253296899133,39.5746703100867,"4.9485866801952589",45.1472419231372,54.8527580768628,0.25,0.5,86.2,58.8,1,0,0.25,32.3,67.3,0.75,0.75,8,6.83139302616695
"Togo",264960,265889,530849,49.9124986578104,50.0875013421896,141286,137856,279142,50.614382643959,49.385617356041,"7.0351107468359748",48.2750192768868,51.7249807231132,0.25,0.75,28.7,22.1,0.25,1,0.25,17.6,42.4,0.75,0.5,13.8,4.90435890630668
"Trinidad_and_Tobago",165908,234106,400014,41.4755483558075,58.5244516441925,29114,30135,59249,49.138382082398,50.861617917602,"0.60384310218008685",42.9055016386084,57.0944983613916,0,0.75,9.9,30.2,0.75,0,0.5,31,64.1,0,0.25,2.2,3.48917945471867
"Tunisia",466817,364817,831634,56.1325054050219,43.8674945949781,29744,27711,57455,51.7692106866243,48.2307893133757,"4.8910839354973366",28.9234516895055,71.0765483104945,1,0.5,18.6,20.3,1,1,0.25,31.3,62.2,0.75,0.5,3.8,6.38877131110164
"Turkiye",1803961,1648546,3452507,52.2507557551657,47.7492442448343,3258212,2618617,5876829,55.4416676067995,44.5583323932005,"0.11158814010267033",32.4672770351965,67.5327229648036,0.25,0.25,13.3,38,1,0,0.5,14.6,54.6,0,0.5,6.7,3.30366717414909
"Turkmenistan",116444,126419,242863,47.9463730580615,52.0536269419385,92240,102887,195127,47.2717768427742,52.7282231572258,"0.0044217042511528011",52.5686744850327,47.4313255149673,0.25,0.75,26.3,26,0,0,0.5,25.8,49.3,0,0.25,6.2,2.83381933535882
"Uganda",365691,382798,748489,48.8572310347914,51.1427689652086,836620,897546,1734166,48.2433630921146,51.7566369078854,"4.0293786085744863",49.4305296917732,50.5694703082268,0.5,0.75,58.3,49.9,0.5,0,0.25,34.3,62.7,0.25,0.5,22.8,5.82395088958989
"Ukraine",2694012,3284771,5978783,45.0595380364198,54.9404619635802,2135064,2829229,4964293,43.0084203329658,56.9915796670342,"10.259743990618523",47.7724753692397,52.2275246307603,0,0.75,2.9,13.2,1,0,0.25,12.3,73.6,0.25,0.5,7.2,3.74967271363299
"United_Kingdom",2395016,2334072,4729088,50.6443525686137,49.3556474313863,4581996,4970114,9552110,47.968417449129,52.031582550871,"0.14752289882385308",47.196688649263,52.803311350737,0.25,0.75,10.2,29,0,0,0,32,55.8,0,0.5,3,3.08104819287875
"United_Republic_of_Tanzania",160024,162810,322834,49.5685088931154,50.4314911068846,251424,257742,509166,49.3795736557429,50.6204263442571,"0.70906441109181628",49.2859725425234,50.7140274574766,1,0.75,58,41.7,0.5,0.75,0.25,37.2,62.4,0.25,1,25.3,7.54652542857119
"United_States_Virgin_Islands",2285,1815,4100,55.7317073170732,44.2682926829268,26740,30005,56745,47.123094545775,52.876905454225,"0.032968560278854496",46.1487830563481,53.8512169436519,0,0.5,11,35.6,0,0,0.5,19.4,72.4,0,0.75,2.1,2.94018373673415
"Uruguay",174505,196664,371169,47.0149716167029,52.9850283832971,36988,44494,81482,45.3940747649788,54.6059252350212,"0.18335717723467837",46.1924927627507,53.8075072372493,0,0.75,1.5,14.8,1,0,0.25,20.2,68.4,0.25,0.75,12,4.16545401696549
"Uzbekistan",1024600,961627,1986227,51.5852417674314,48.4147582325686,545048,623336,1168384,46.649731595092,53.350268404908,"14.26497230170764",63.9318908200538,36.0681091799462,0.25,0.75,41.5,27.9,1,0,0.25,16,74.2,0,1,5,5.16152522773233
"Vietnam",1394062,1463376,2857438,48.7871302894411,51.2128697105589,44087,32017,76104,57.9299379796069,42.0700620203931,"5.0842602877828522",48.067055677003,51.932944322997,0.25,0.75,28.2,34.4,1,0,0,26.7,69,0,0.25,10.3,4.53591313249
"Zambia",149898,167546,317444,47.2202971232721,52.7797028767279,86098,84151,170249,50.5718095260471,49.4281904739529,"0.42155614268940239",44.8720151289101,55.1279848710899,0.5,0.5,46.9,42.7,0.75,0,0.5,18,62.4,0.75,0.5,18.6,5.49708829651647
