"country","Inheritance_law","Violence_against_women_law","Violence_against_women_attitudes","percentage_violence","Citizenship_rights","Inequality_voting_rights","percentage_women_parliament","Insecurity_feeling","Access_to_justice","Child_marriage_law","Girls_married","total"
"Belize",0,0.75,5.2,29,0,0.5,9.4,68.4,0,0.5,17.5,3.85131484634326
"Bosnia_and_Herzegovina",0.25,0.5,4.8,13.1,0,0.25,21.4,56.7,0.25,0.5,0.7,3.39107054685519
"Botswana",0.25,0.75,54.8,13.1,0.25,0.5,9.5,71.1,0.75,0.5,7.1,4.45869512100827
"Brazil",0,0.25,8.5,33.5,0,0.25,10.7,66.9,0,0.75,15.4,3.51263917961829
"Bulgaria",0,0.75,18.2,23,0,0.5,23.8,64.2,0,0.5,1.5,3.83432628591924
"China",0,0.75,32.7,32,0,0,24.2,70.1,0,0.25,3.2,4.13486422575286
"Colombia",0,0.25,11.1,37.4,0,0.25,18.7,66.7,0,0.5,14.5,3.51667309482196
"Costa_Rica",0.5,0.75,3.5,36,0,0,35.1,64.7,0,0.5,8.4,4.72064253347338
"Cuba",0,0.75,3.9,21.2,0,0.5,48.9,62.2,0,0.5,15.8,4.37247557686289
"Dominica",0.5,0.75,8.9,12.6,0.25,0.5,25,35.2,0,0.5,0.2,3.64269919710534
"Dominican_Republic",0,0.25,2,20.4,0,0,26.8,61.2,0,0.5,27.4,3.4096645799331
"Ecuador",0.25,0.5,25.2,37.5,0,0.25,38,67.6,0,0.5,21.9,4.91618511124763
"Equatorial_Guinea",0.25,1,52.6,56.9,0,0.5,20,46.9,0,0.5,23.8,5.56781948462265
"Fiji",0.25,0.75,42.6,64.1,0,0.5,16,73.8,0.25,0.25,8.5,5.36112923424325
"Gabon",0.25,0.75,50.2,48.6,0,0,17.1,46.9,0.25,1,15,5.30511249051471
"Grenada",0.25,0.75,5,68.6,0.25,0.5,33.3,65.7,0.25,0.5,0.6,5.37221625297462
"Guatemala",0.25,0.75,11,18,0.75,0.25,12.7,70.2,0,0.25,21.6,4.70394617556537
"Guyana",0,0.75,10.2,19.5,0,0.25,31.9,50.9,0,0.5,0.7,3.51863865527051
"Iran",1,0.75,21,66,1,0.5,5.9,70.1,0.75,0.75,21.4,7.79303084692905
"Iraq",1,0.75,54.8,21.2,0.75,0.25,25.3,29.7,0.75,0.5,20.3,6.59132456654319
"Jamaica",0,0.75,4.9,19.7,0,0.5,17.5,66.6,0,0.75,3.8,3.78336378318967
"Jordan",1,0.75,18,23.6,0.75,0.25,15.4,75.9,0.75,0.5,11.3,6.63046285446605
"Kazakhstan",0,0.75,14.2,16.5,0,0.5,27.1,66.1,0.25,0.5,6.5,4.12797832204443
"Lebanon",0.75,0.75,43.6,10.4,1,0.5,3.1,56.1,0.75,0.75,3.4,6.21247132784538
"Libya",0.25,0.75,25.1,26.3,0.75,0.25,16,35.2,0.75,0.5,0.9,4.96039904415057
"North_Macedonia",0.25,0.75,14.5,27.7,0,0.25,37.5,67.3,0.25,0.5,4.3,4.77483046137073
"Malaysia",0.5,0.75,41.5,10.4,1,0.5,10.4,66.8,0.75,1,6.1,6.62022723148705
"Maldives",1,0.75,30.8,19.5,0.5,0.25,5.9,66.1,0.75,0.5,5.4,5.97592767341171
"Mauritius",0.5,0.5,86.2,38,0,0.25,11.6,64.7,0.75,0.5,7.3,5.96434601605269
"Namibia",0.25,0.25,28.2,25,0.25,0.25,41.3,72.3,0.25,0.5,5.9,4.75011085052711
"Paraguay",0.5,0.5,22.9,17.9,0.5,0,13.8,61.4,0,0.5,13.2,4.46464308745393
"Peru",0.25,0.75,32.2,33.2,0,0,27.7,65.1,0,0.5,12.9,4.82353875987889
"Romania",0,0.25,7.5,24,0,0.5,20.7,68.1,0,0.5,6.8,3.14145523921168
"Russian_Federation",0,1,23.3,19.6,0,0.5,15.8,76.7,0.25,0.5,7.9,4.67450152192542
"Samoa",0.25,0.75,36.5,46.1,0,0.25,10,65.7,0.25,1,7.6,5.38973585714516
"South_Africa",0.25,0.5,61.2,20.6,0.5,0.25,42.1,55.4,0,0.5,6.3,4.44546036160753
"Thailand",0,0.75,8.6,44.2,1,0.25,4.8,71.8,0.25,0.75,17.1,5.63683906922663
"Turkmenistan",0.25,0.75,26.3,26,0,0.5,25.8,49.3,0,0.25,6.2,2.83381933535882
"Venezuela",0,0.25,53.2,33.5,0,0,22.2,63,0,0.5,16.4,4.15388070764994
"Serbia",0.25,0.25,3.8,23.7,0,0.25,34.4,73.2,0.25,0.5,3.5,3.91003202731938
"Montenegro",0.25,0.25,2.7,13,0,0.25,23.5,58.2,0,0.5,2.4,2.88296566941543
