"country","male_emigrants","female_emigrants","total_emigrants","male_percent_emigrants","female_percent_emigrants","male_immigrants","female_immigrants","total_immigrants","male_percent_immigrants","female_percent_immigrants"
"Bangladesh",5216213,2619167,7835380,66.572559339815,33.427440660185,1124293,1061320,2185613,51.4406255819306,48.5593744180694
"Barbados",52107,60873,112980,46.1205523101434,53.8794476898566,15638,19169,34807,44.927744419226,55.072255580774
"Belarus",629785,851053,1480838,42.5289599537559,57.4710400462441,489770,579625,1069395,45.7987927753543,54.2012072246457
"Belgium",277126,304687,581813,47.6314554676503,52.3685445323497,979191,1002728,1981919,49.4062068126901,50.5937931873099
"Belize",28354,39797,68151,41.6046719784009,58.3953280215991,30180,29818,59998,50.3016767225574,49.6983232774426
"Benin",358733,307634,666367,53.8341484497282,46.1658515502718,183593,206519,390112,47.0616130752194,52.9383869247806
"Bermuda",8868,9189,18057,49.1111480312344,50.8888519687656,9439,9897,19336,48.8156805957799,51.1843194042201
"Bhutan",25248,23985,49233,51.2826762537323,48.7173237462677,45220,8034,53254,84.9138092913208,15.0861907086792
"Bolivia",416061,462167,878228,47.3750552248391,52.6249447751609,81818,74296,156114,52.4091369127689,47.5908630872311
"Bonaire,_Sint_Eustatius_and_Saba",5963,6816,12779,46.6624931528289,53.3375068471711,7494,7990,15484,48.3983466804443,51.6016533195557
"Bosnia_and_Herzegovina",801762,851434,1653196,48.4976977926392,51.5023022073608,17017,18718,35735,47.6199804113614,52.3800195886386
"Botswana",51059,35445,86504,59.0250161842227,40.9749838157773,62943,47653,110596,56.9125465658794,43.0874534341206
"Brazil",737992,1007462,1745454,42.2808048794182,57.7191951205818,435661,371345,807006,53.9848526528923,46.0151473471077
"British_Virgin_Islands",2399,3018,5417,44.2865054458187,55.7134945541813,10242,10536,20778,49.292520935605,50.707479064395
"Brunei_Darussalam",27612,19382,46994,58.7564369919564,41.2435630080436,62660,47981,110641,56.6336168328197,43.3663831671803
"Bulgaria",666516,875415,1541931,43.2260587536018,56.7739412463982,82718,85798,168516,49.0861401884688,50.9138598115312
"Burkina_Faso",884065,697025,1581090,55.9149068047992,44.0850931952008,341830,376508,718338,47.5862337785277,52.4137662214723
"Burundi",306332,317700,624032,49.0891492743962,50.9108507256038,158163,162855,321018,49.2691998579519,50.7308001420481
"Cabo_Verde",83574,102798,186372,44.8425729186788,55.1574270813212,7922,7742,15664,50.5745658835546,49.4254341164454
"Cambodia",509405,588570,1097975,46.3949543477766,53.6050456522234,42379,36270,78649,53.8837111724243,46.1162888275757
"Cameroon",188962,194140,383102,49.3242008655658,50.6757991344342,250177,255515,505692,49.4722083798043,50.5277916201957
"Canada",510314,812773,1323087,38.5699504265404,61.4300495734596,3786190,4174467,7960657,47.5612754072936,52.4387245927064
"Cayman_Islands",902,1072,1974,45.694022289767,54.305977710233,14838,14147,28985,51.1919958599276,48.8080041400724
"Central_African_Republic",385710,382179,767889,50.229916042553,49.770083957447,48004,42645,90649,52.9559068494964,47.0440931505036
"Chad",111901,94505,206406,54.2140247861012,45.7859752138988,236334,275896,512230,46.1382582043223,53.8617417956777
"Channel_Islands",10820,11725,22545,47.9929030827234,52.0070969172766,40068,43765,83833,47.7950210537616,52.2049789462384
"Chile",305869,344386,650255,47.0383157376721,52.9616842623279,442929,497063,939992,47.1205074085737,52.8794925914263
"China",4970636,5764171,10734807,46.3039158505598,53.6960841494402,632550,398321,1030871,61.3607328172002,38.6392671827998
"China,_Hong_Kong_SAR",577288,533882,1111170,51.9531664821764,48.0468335178236,1143329,1798925,2942254,38.8589496352116,61.1410503647884
"China,_Macao_SAR",71909,90044,161953,44.4011534210543,55.5988465789457,185502,214070,399572,46.4251749371828,53.5748250628172
"Colombia",1308010,1561295,2869305,45.5863005152816,54.4136994847184,575805,566514,1142319,50.4066727420274,49.5933272579726
"Comoros",58787,61511,120298,48.8678116011904,51.1321883988096,6047,6457,12504,48.3605246321177,51.6394753678823
"Congo,_Rep.",120947,118460,239407,50.519408371518,49.480591628482,220238,181904,402142,54.7662268551905,45.2337731448095
"Cook_Islands",11115,11373,22488,49.4263607257204,50.5736392742796,1748,1743,3491,50.0716127184188,49.9283872815812
"Costa_Rica",63755,86660,150415,42.3860652195592,57.6139347804408,201934,215834,417768,48.3363972348289,51.6636027651711
"Cote_dIvoire",551589,562458,1114047,49.5121839563322,50.4878160436678,1411575,1137566,2549141,55.3745359711369,44.6254640288631
"Croatia",478540,511628,990168,48.3291724232655,51.6708275767345,239681,278402,518083,46.2630505150719,53.7369494849281
"Cuba",769052,885702,1654754,46.4753069036243,53.5246930963757,2097,2789,4886,42.9185427752763,57.0814572247237
"Curaçao",40522,40649,81171,49.9217700903032,50.0782299096968,16813,24070,40883,41.1246728469046,58.8753271530954
"Cyprus",106278,108386,214664,49.5090001118026,50.4909998881974,85208,106714,191922,44.3972030303978,55.6027969696022
"Czechia",402492,508977,911469,44.1586055038624,55.8413944961376,293245,219460,512705,57.195658322037,42.804341677963
"Dem._People's_Korea,_Rep.",59204,53917,113121,52.3368782100583,47.6631217899417,24576,24817,49393,49.756038305023,50.243961694977
"Congo_Dem_Rep.",833029,851686,1684715,49.4462861670965,50.5537138329035,463954,499879,963833,48.1363472717784,51.8636527282216
"Denmark",120724,134941,255665,47.2196037783819,52.7803962216181,357366,365512,722878,49.4365577594006,50.5634422405994
"Djibouti",9491,9186,18677,50.8165122878407,49.1834877121593,60654,54687,115341,52.5866777641949,47.4133222358051
"Dominica",32854,45790,78644,41.7755963582727,58.2244036417273,4303,3961,8264,52.0692158760891,47.9307841239109
"Dominican_Republic",643958,914752,1558710,41.3135220791552,58.6864779208448,365261,202387,567648,64.3463907210102,35.6536092789898
"Ecuador",557747,625997,1183744,47.117197637327,52.882802362673,197162,184345,381507,51.6797856920057,48.3202143079943
"Egypt,_Arab_Rep.",2295425,1252452,3547877,64.698550710749,35.301449289251,271048,233005,504053,53.7737103042736,46.2262896957264
"El_Salvador",795952,804975,1600927,49.7181945210494,50.2818054789506,20269,22348,42617,47.5608325316188,52.4391674683812
"Equatorial_Guinea",67324,58346,125670,53.5720537916766,46.4279462083234,175403,52214,227617,77.0605886203579,22.9394113796421
"Eritrea",400950,350589,751539,53.3505247232679,46.6494752767321,8922,7179,16101,55.4127072852618,44.5872927147382
"Estonia",93795,114475,208270,45.0352907283814,54.9647092716186,80616,109626,190242,42.3755006780837,57.6244993219163
"Eswatini",51287,45845,97132,52.8013425029856,47.1986574970144,16582,15728,32310,51.3215722686475,48.6784277313525
"Ethiopia",463581,408293,871874,53.1706416294098,46.8293583705902,637963,615120,1253083,50.9114719455934,49.0885280544066
"Falkland_Islands",689,934,1623,42.4522489217498,57.5477510782502,1057,845,1902,55.5730809674027,44.4269190325973
"Faroe_Islands",5921,7917,13838,42.7879751409163,57.2120248590837,3287,3167,6454,50.9296560272699,49.0703439727301
"Fiji",105570,117158,222728,47.3986207391976,52.6013792608024,7576,6462,14038,53.9678016811512,46.0321983188488
"Finland",112375,177667,290042,38.7443887436992,61.2556112563008,196188,186928,383116,51.2085112602971,48.7914887397029
"France",1122781,1174163,2296944,48.8815138723452,51.1184861276548,4019290,4315585,8334875,48.2225588266171,51.7774411733829
"French_Guiana",1966,2590,4556,43.1518876207199,56.8481123792801,55751,61621,117372,47.49940360563,52.50059639437
"French_Polynesia",1103,879,1982,55.6508577194753,44.3491422805247,17791,13414,31205,57.0132991507771,42.9867008492229
"Gabon",22351,24337,46688,47.8731151473612,52.1268848526388,264758,146705,411463,64.3455183090582,35.6544816909418
"Gambia",77979,40506,118485,65.813394100519,34.1866058994809,113552,101854,215406,52.7153375486291,47.2846624513709
"Georgia",425131,427695,852826,49.8496762528347,50.1503237471653,34583,44452,79035,43.7565635477953,56.2434364522047
"Germany",1870506,2144264,4014770,46.5906141572245,53.4093858427755,6881990,6250156,13132146,52.4056768787067,47.5943231212933
"Ghana",510404,460310,970714,52.5802656601223,47.4197343398777,249224,217556,466780,53.3921761857835,46.6078238142165
"Gibraltar",6970,7350,14320,48.6731843575419,51.3268156424581,5646,5526,11172,50.5370569280344,49.4629430719656
"Greece",543312,496189,1039501,52.2666163861314,47.7333836138686,560208,651174,1211382,46.2453627344636,53.7546372655364
"Greenland",7982,10702,18684,42.7210447441661,57.2789552558339,3742,1948,5690,65.7644991212654,34.2355008787346
"Grenada",33008,42817,75825,43.531816683152,56.468183316848,3536,3588,7124,49.6350364963504,50.3649635036496
"Guadeloupe",4821,7037,11858,40.6560971496036,59.3439028503964,44537,55493,100030,44.5236429071279,55.4763570928721
"Guam",999,1198,2197,45.4710969503869,54.5289030496131,41185,38661,79846,51.580542544398,48.419457455602
"Guatemala",595851,609860,1205711,49.4190564737321,50.5809435262679,38117,42304,80421,47.3968242125813,52.6031757874187
"Guinea",298347,232636,530983,56.1876745583192,43.8123254416808,70695,49947,120642,58.5989953747451,41.4010046252549
"Guinea-Bissau",54776,48812,103588,52.8787118199019,47.1212881800981,12990,13926,26916,48.2612572447615,51.7387427552385
"Guyana",238880,281658,520538,45.890982022446,54.109017977554,8398,7301,15699,53.4938531116632,46.5061468883368
"Haiti",856250,729794,1586044,53.9865224420003,46.0134775579997,10426,8330,18756,55.5875453188313,44.4124546811687
"Holy_See",95,122,217,43.778801843318,56.221198156682,373,426,799,46.6833541927409,53.3166458072591
"Honduras",328710,472028,800738,41.0508805626809,58.9491194373191,20440,18493,38933,52.5004494901497,47.4995505098503
"Hungary",315888,316381,632269,49.9610134294106,50.0389865705894,253884,258159,512043,49.5825545901418,50.4174454098582
"Iceland",20783,21405,42188,49.2628235517209,50.7371764482791,27554,24850,52404,52.5799557285703,47.4200442714297
"India",11444272,6069261,17513533,65.3453075401748,34.6546924598252,2640513,2514224,5154737,51.2249800523286,48.7750199476714
"Indonesia",2492075,2040973,4533048,54.9757028824755,45.0242971175245,205451,147684,353135,58.1791666076713,41.8208333923287
"Iran",702668,599908,1302576,53.9444915306285,46.0555084693715,1421804,1260410,2682214,53.0085966295009,46.9914033704991
"Iraq",1039132,994657,2033789,51.0934025112733,48.9065974887267,214288,153774,368062,58.2206258728149,41.7793741271851
"Ireland",372450,444458,816908,45.5926493558638,54.4073506441362,414452,419112,833564,49.7204773718635,50.2795226281365
"Isle_of_Man",6256,6553,12809,48.8406589117027,51.1593410882973,20901,21963,42864,48.7611982082867,51.2388017917133
"Israel",190683,179357,370040,51.5303750945844,48.4696249054156,887768,1068578,1956346,45.3788849211745,54.6211150788255
"Italy",1645383,1433314,3078697,53.4441356197118,46.5558643802882,2908119,3365603,6273722,46.353966592718,53.646033407282
"Jamaica",473877,637682,1111559,42.6317451435326,57.3682548564674,11920,11548,23468,50.7925686040566,49.2074313959434
"Japan",378889,460068,838957,45.1619093708021,54.8380906291979,1208168,1290723,2498891,48.3481672469908,51.6518327530092
"Jordan",500347,284081,784428,63.7849490329259,36.2150509670741,1685358,1661345,3346703,50.3587560652977,49.6412439347023
"Kazakhstan",1865459,2140177,4005636,46.5708566629619,53.4291433370381,1836893,1868663,3705556,49.5713193917458,50.4286806082542
"Kenya",247290,278253,525543,47.0541896666876,52.9458103333124,522321,522533,1044854,49.9898550419484,50.0101449580516
"Kiribati",2138,2232,4370,48.9244851258581,51.0755148741419,1594,1428,3022,52.7465254798147,47.2534745201853
"Kuwait",124825,80616,205441,60.7595368013201,39.2404631986799,2013803,1021042,3034845,66.3560412475761,33.6439587524239
"Kyrgyz_Republic",362029,392952,754981,47.9520676679281,52.0479323320719,80945,119315,200260,40.4199540597224,59.5800459402776
"Lao_PDR",596250,750841,1347091,44.2620431730299,55.7379568269701,31099,17176,48275,64.4205075090627,35.5794924909373
"Latvia",148961,183282,332243,44.8349551382572,55.1650448617428,93396,143870,237266,39.3634149014187,60.6365850985813
"Lebanon",499630,344873,844503,59.1626080665196,40.8373919334804,895875,967998,1863873,48.065238350467,51.934761649533
"Lesotho",176043,165538,341581,51.537702623975,48.462297376025,3751,3177,6928,54.1426096997691,45.8573903002309
"Liberia",109448,109900,219348,49.8969673760417,50.1030326239583,53857,40591,94448,57.0229120786041,42.9770879213959
"Libya",98609,82002,180611,54.5974497677329,45.4025502322671,582673,235543,818216,71.2126137841352,28.7873862158648
"Liechtenstein",1659,2054,3713,44.6808510638298,55.3191489361702,12406,13061,25467,48.714022067774,51.285977932226
